t,src,nbr,cluster,attack_type,attack_active,B,C,S,H,rho,trust_before,action,trust_after,pdr,delay_norm,qos,reward,reward_base,gray_penalty,onoff_penalty,collusion_penalty,pred_malicious,true_malicious,route_score,selected_next_hop
0,0,7,0,none,0,0.9166666865348816,0.8846843242645264,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.14973488254432812,0.9550795352367015,0.9475927911094851,0.9475927911094851,0.0,0.0,0.0,0,0,0.5988968793121585,7
0,0,22,0,onoff,1,0.5833333134651184,0.8490151762962341,0.09886626899242401,0.0,0.0,0.5,1,0.5,0.6,0.21458787518582842,0.6556236374442515,0.5248942436849601,0.5248942436849601,0.0,0.0,0.0,0,1,0.4690873150848009,7
0,0,35,0,none,0,0.9166666865348816,0.8986979722976685,0.09886626899242401,0.0,0.0,0.5,1,0.5,1.0,0.12425549351917403,0.9627233519442477,0.9565105772682891,0.9565105772682891,0.0,0.0,0.0,0,0,0.5765722151597996,7
0,0,39,0,none,0,0.9166666865348816,0.9391435980796814,0.09886626899242401,0.0,0.0,0.5,0,0.45,1.0,0.05071797391635697,0.9847846078250928,0.9822487091292751,0.9822487091292751,0.0,0.0,0.0,1,0,0.5592936547180954,7
0,1,2,0,none,0,0.9166666865348816,0.9396997094154358,0.09886626899242401,0.0,0.0,0.5,1,0.5,1.0,0.04970686198905327,0.985087941403284,0.9826025983038313,0.9826025983038313,0.0,0.0,0.0,0,0,0.5843998214704623,2
0,1,24,0,none,0,0.75,0.891642689704895,0.09886626899242401,0.0,0.0,0.5,0,0.45,0.8,0.13708329411323888,0.8188750117660282,0.7520208470603664,0.7520208470603664,0.0,0.0,0.0,1,0,0.5012252960974228,2
0,1,29,0,none,0,0.8333333134651184,0.8760387301445007,0.09886626899242401,0.0,0.0,0.5,2,0.55,0.9,0.1654540777075368,0.880363776687739,0.8420910728023622,0.8420910728023622,0.0,0.0,0.0,0,0,0.5727463638200216,2
0,2,1,0,none,0,0.9166666865348816,0.8989238739013672,0.09886626899242401,0.0,0.0,0.5,1,0.5,1.0,0.12384477210326986,0.962846568369019,0.9566543297638556,0.9566543297638556,0.0,0.0,0.0,0,0,0.5766153409084696,1
0,2,13,0,collusion,1,0.25,0.8217334747314453,0.09886626899242401,0.0,0.0,0.5,2,0.55,0.2,0.26419092218715234,0.36074272334385427,0.1075331772344967,0.1075331772344967,0.0,0.0,0.0,0,1,0.3908789951496619,1
0,2,24,0,none,0,0.9166666865348816,0.868135392665863,0.09886626899242401,0.0,0.0,0.5,0,0.45,1.0,0.17982376469305786,0.9460528705920825,0.9370616823574298,0.9370616823574298,0.0,0.0,0.0,1,0,0.5457375466865418,1
0,2,29,0,none,0,0.9166666865348816,0.9051237106323242,0.09886626899242401,0.0,0.0,0.5,0,0.45,1.0,0.11257237537504461,0.9662282873874866,0.9605996686187344,0.9605996686187344,0.0,0.0,0.0,1,0,0.5527989425649332,1
0,3,4,0,none,0,0.9166666865348816,0.9226030707359314,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.08079165597157259,0.9757625032085282,0.9717229204099496,0.9717229204099496,0.0,0.0,0.0,0,0,0.6061359181022978,4
0,3,10,0,none,0,0.9166666865348816,0.9211511015892029,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.08343159871897723,0.9749705203843068,0.970798940448358,0.970798940448358,0.0,0.0,0.0,0,0,0.6058587241138202,4
0,3,12,0,none,0,0.9166666865348816,0.9076592326164246,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.10796229663083541,0.9676113110107494,0.9622131961792076,0.9622131961792076,0.0,0.0,0.0,0,0,0.6032830008330752,4
0,3,15,0,grayhole,1,0.5833333134651184,0.8629209995269775,0.09886626899242401,0.0,0.0,0.5,1,0.5,0.6,0.18930448251447637,0.6632086552456571,0.5337434311199333,0.5337434311199333,0.0,0.0,0.0,0,1,0.47174207131529283,4
0,3,25,0,none,0,0.9166666865348816,0.9137901663780212,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.09681512975749038,0.9709554610727529,0.9661147045848784,0.9661147045848784,0.0,0.0,0.0,0,0,0.6044534533547765,4
0,3,28,0,grayhole,1,0.4166666567325592,0.8531862497329712,0.09886626899242401,0.0,0.0,0.5,1,0.5,0.4,0.20700407449461317,0.517898777651616,0.3275485739268854,0.3275485739268854,0.0,0.0,0.0,0,1,0.42088361415737846,4
0,4,3,0,none,0,0.9166666865348816,0.9171302914619446,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.0907421371986609,0.9727773588404016,0.9682402519804687,0.9682402519804687,0.0,0.0,0.0,0,0,0.6050911175734535,3
0,4,10,0,none,0,0.9166666865348816,0.9180268049240112,0.09886626899242401,0.0,0.0,0.5,0,0.45,1.0,0.08911214571170145,0.9732663562864895,0.9688107490009045,0.9688107490009045,0.0,0.0,0.0,1,0,0.5552622666795842,3
0,4,12,0,none,0,0.9166666865348816,0.9109482169151306,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.10198226619775692,0.9694053201406729,0.964306206830785,0.964306206830785,0.0,0.0,0.0,0,0,0.6039109040285484,3
0,4,15,0,grayhole,1,0.75,0.9074001312255859,0.09886626899242401,0.0,0.0,0.5,0,0.45,0.8,0.10843339637641343,0.8274699810870758,0.7620483112682553,0.7620483112682553,0.0,0.0,0.0,1,1,0.5042335353597894,3
0,4,33,0,none,0,0.9166666865348816,0.8983255624771118,0.09886626899242401,0.0,0.0,0.5,0,0.45,1.0,0.12493261008874193,0.9625202169733773,0.9562735864689403,0.9562735864689403,0.0,0.0,0.0,1,0,0.551501117919995,3
0,4,38,0,none,0,0.9166666865348816,0.9022258520126343,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.11784117070302032,0.9646476487890938,0.9587555902539429,0.9587555902539429,0.0,0.0,0.0,0,0,0.6022457190554957,3
0,5,6,0,none,0,0.9166666865348816,0.907800555229187,0.09886626899242401,0.0,0.0,0.5,0,0.45,1.0,0.10770536645719068,0.9676883900628428,0.9623031217399832,0.9623031217399832,0.0,0.0,0.0,1,0,0.5533099785013079,9
0,5,9,0,none,0,0.9166666865348816,0.9151955246925354,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.09425993694488716,0.9717220189165339,0.9670090220692895,0.9670090220692895,0.0,0.0,0.0,0,0,0.6047217486000998,9
0,5,18,0,none,0,0.9166666865348816,0.9080177545547485,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.10731037186135606,0.9678068884415931,0.9624413698485254,0.9624413698485254,0.0,0.0,0.0,0,0,0.6033514529338706,9
0,5,25,0,none,0,0.75,0.8560509085655212,0.09886626899242401,0.0,0.0,0.5,2,0.55,0.8,0.20179556472107196,0.7994613305836784,0.7293715523476249,0.7293715523476249,0.0,0.0,0.0,0,0,0.5444305076836005,9
0,6,5,0,none,0,0.8333333134651184,0.8532454967498779,0.09886626899242401,0.0,0.0,0.5,1,0.5,0.9,0.20689632188070364,0.8679311034357889,0.8275862873417538,0.8275862873417538,0.0,0.0,0.0,0,0,0.5433949281818391,18
0,6,11,0,onoff,1,0.3333333432674408,0.80866938829422,0.09886626899242401,0.0,0.0,0.5,0,0.45,0.3,0.28794381716957834,0.4236168548491265,0.19921966399064756,0.19921966399064756,0.0,0.0,0.0,1,1,0.36288494117650716,18
0,6,18,0,none,0,0.9166666865348816,0.8937544226646423,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.1332438053152874,0.9600268584054137,0.9533646681396494,0.9533646681396494,0.0,0.0,0.0,0,0,0.6006284424212077,18
0,6,25,0,none,0,0.8333333134651184,0.9159489274024963,0.09886626899242401,0.0,0.0,0.5,2,0.55,0.9,0.09289013374685745,0.9021329598759427,0.8674884531885999,0.8674884531885999,0.0,0.0,0.0,0,0,0.5803655779358929,18
0,7,0,0,grayhole,1,0.5,0.8437165021896362,0.09886626899242401,0.0,0.0,0.5,1,0.5,0.5,0.22422175495691563,0.5827334735129253,0.42152238576507955,0.42152238576507955,0.0,0.0,0.0,0,1,0.4435757577088367,39
0,7,8,0,none,0,0.9166666865348816,0.9228904247283936,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.08026920539471173,0.9759192383815865,0.9719057781118509,0.9719057781118509,0.0,0.0,0.0,0,0,0.6061907754128681,39
0,7,14,0,none,0,0.9166666865348816,0.9186500310897827,0.09886626899242401,0.0,0.0,0.5,0,0.45,1.0,0.08797905211493656,0.9736062843655189,0.9692073317597723,0.9692073317597723,0.0,0.0,0.0,1,0,0.5553812415072445,39
0,7,22,0,onoff,1,0.4166666567325592,0.8155999183654785,0.09886626899242401,0.0,0.0,0.5,1,0.5,0.4,0.27534281316306985,0.49739715605107904,0.30363001539292556,0.30363001539292556,0.0,0.0,0.0,0,1,0.41370804659719057,39
0,7,39,0,none,0,0.9166666865348816,0.9349992871284485,0.09886626899242401,0.0,0.0,0.5,2,0.55,1.0,0.05825312497230604,0.9825240625083081,0.9796114062596929,0.9796114062596929,0.0,0.0,0.0,0,0,0.6085024638572207,39
1,0,7,0,none,0,0.9166666865348816,0.8674812912940979,1.0,0.0,0.0,0.55,2,0.6000000000000001,1.0,0.2025797716778631,0.939226068496641,0.9290970799127479,0.9290970799127479,0.0,0.0,0.0,0,0,0.5237291257619637,7
1,0,22,0,onoff,1,0.25,0.8270118236541748,1.0,0.1666666716337204,0.0,0.5,0,0.45,0.2,0.2965255869502348,0.3510423239149295,-0.0997839589095198,0.09621604456741784,0.23333333333333336,0.0466666716337204,0.0,1,1,0.2428648151583647,7
1,0,35,0,none,0,0.9166666865348816,0.8849830627441406,1.0,0.0,0.0,0.5,2,0.55,1.0,0.15596030724855528,0.9532119078254333,0.9454138924630057,0.9454138924630057,0.0,0.0,0.0,0,0,0.503624169527041,7
1,0,39,0,none,0,0.9166666865348816,0.9065456986427307,1.0,0.0,0.0,0.45,2,0.5,1.0,0.19686534855884563,0.9409403954323463,0.931097128004404,0.931097128004404,0.0,0.0,0.0,0,0,0.4743291401894605,7
1,1,2,0,none,0,0.75,0.9015313386917114,1.0,0.0833333358168602,0.0,0.5,0,0.45,0.8,0.22961453883097718,0.7911156383507068,0.6729682447424914,0.719634911409158,0.06666666666666662,0.0,0.0,1,0,0.3968904752108867,29
1,1,24,0,none,0,0.9166666865348816,0.8843005895614624,1.0,0.0833333358168602,0.0,0.45,1,0.45,1.0,0.13016488181155397,0.9609505354565337,0.9544422913659562,0.9544422913659562,0.0,0.0,0.0,1,0,0.45633268919792613,29
1,1,29,0,none,0,0.9166666865348816,0.8745272755622864,1.0,0.0416666679084301,0.0,0.55,2,0.6000000000000001,1.0,0.12319864886018893,0.9630404053419432,0.9568804728989339,0.9568804728989339,0.0,0.0,0.0,0,0,0.5320641436578194,29
1,2,1,0,none,0,0.9166666865348816,0.8825274705886841,1.0,0.0,0.0,0.5,0,0.45,1.0,0.17180125606806004,0.9484596231795819,0.939869560376179,0.939869560376179,0.0,0.0,0.0,1,0,0.45196086990099293,24
1,2,13,0,collusion,1,0.4166666567325592,0.811545729637146,1.0,0.0833333358168602,0.0,0.55,1,0.55,0.4,0.2745192384861771,0.4976442284541468,0.30391826652983805,0.30391826652983805,0.0,0.0,0.0,0,1,0.3441754817470907,24
1,2,24,0,none,0,0.9166666865348816,0.8620437979698181,1.0,0.0,0.0,0.45,2,0.5,1.0,0.1653270541476913,0.9504018837556926,0.942135531048308,0.942135531048308,0.0,0.0,0.0,0,0,0.4776406611026317,24
1,2,29,0,none,0,0.9166666865348816,0.885453462600708,1.0,0.0,0.0,0.45,0,0.4,1.0,0.18037002081979447,0.9458889937540615,0.936870492713072,0.936870492713072,0.0,0.0,0.0,1,0,0.4260611496020609,24
1,3,4,0,none,0,0.75,0.8923446536064148,1.0,0.0833333358168602,0.0,0.55,2,0.6000000000000001,0.8,0.212760303282667,0.7961719090151999,0.6788672271844,0.7255338938510666,0.06666666666666662,0.0,0.0,0,0,0.4736601699434593,12
1,3,10,0,none,0,0.9166666865348816,0.9027470946311951,1.0,0.0,0.0,0.55,1,0.55,1.0,0.14355549084026104,0.9569333527479216,0.9497555782059086,0.9497555782059086,0.0,0.0,0.0,0,0,0.5049266752499119,12
1,3,12,0,none,0,0.9166666865348816,0.8848845958709717,1.0,0.0,0.0,0.55,2,0.6000000000000001,1.0,0.19457477097872,0.941627568706384,0.931898830157448,0.931898830157448,0.0,0.0,0.0,0,0,0.5245696508353738,12
1,3,15,0,grayhole,1,0.3333333432674408,0.8282709121704102,1.0,0.125,0.0,0.5,2,0.55,0.3,0.34788924651359465,0.40563322604592156,0.06973877067411709,0.1782387637202419,0.14999999006589257,0.0050000000000000044,0.0,0,1,0.31197163090421187,12
1,3,25,0,none,0,0.9166666865348816,0.888261079788208,1.0,0.0,0.0,0.55,0,0.5,1.0,0.20012129497447817,0.9399636115076565,0.9299575467589326,0.9299575467589326,0.0,0.0,0.0,0,0,0.47398726581581907,12
1,3,28,0,grayhole,1,0.5,0.8384031653404236,1.0,0.0416666679084301,0.0,0.5,2,0.55,0.5,0.24518269434523593,0.5764451916964292,0.41418605697916744,0.41418605697916744,0.0,0.0,0.0,0,1,0.3717558188818896,12
1,4,3,0,none,0,0.8333333134651184,0.8961124420166016,1.0,0.0416666679084301,0.0,0.55,2,0.6000000000000001,0.9,0.16670725208716283,0.8799878243738511,0.841652461769493,0.841652461769493,0.0,0.0,0.0,0,0,0.5029957403189872,38
1,4,10,0,none,0,0.9166666865348816,0.9022608995437622,1.0,0.0,0.0,0.45,2,0.5,1.0,0.13324732399095165,0.9600258028027144,0.9533634366031669,0.9533634366031669,0.0,0.0,0.0,0,0,0.48100903276908935,38
1,4,12,0,none,0,0.9166666865348816,0.907069742679596,1.0,0.0,0.0,0.55,0,0.5,1.0,0.07407256718555356,0.9777782298443338,0.9740746014850562,0.9740746014850562,0.0,0.0,0.0,0,0,0.4872223822336562,38
1,4,15,0,grayhole,1,0.5833333134651184,0.8813123106956482,1.0,0.0833333358168602,0.0,0.45,0,0.4,0.6,0.21512562275560748,0.6554623131733177,0.47803935146112025,0.5247060320355373,0.06666668653488159,0.0,0.0,1,1,0.3244118113988005,38
1,4,33,0,none,0,0.8333333134651184,0.8881198167800903,1.0,0.0416666679084301,0.0,0.45,2,0.5,0.9,0.1353696694592715,0.8893890991622185,0.852620615689255,0.852620615689255,0.0,0.0,0.0,0,0,0.4562861864949158,38
